"","Date","OnDeckBatter","OPS+","ROB","LI","Result"
"1406","2023-09-23","Jazz Chisholm Jr.",138,"1--",".72","SO"
"1407","2023-09-23","Bryce Harper",146,"---",".40","SO"
"1408","2023-09-23","David Peralta",108,"1-3",".30","Out"
"1409","2023-09-24","Ian Happ",117,"---","1.34","HBP"
"1410","2023-09-24","Pablo Reyes",67,"12-","1.77","Out"
"1411","2023-09-24","Bobby Witt Jr.",102,"---",".35","Out"
"1412","2023-09-23","Ty France",125,"---",".93","Out"
"1413","2023-09-24","Tyrone Taylor",102,"---",".17","SO"
"1414","2023-09-24","Estevan Florial",-11,"-23",".23","Out"
"1415","2023-09-24","Estevan Florial",-11,"---","1.05","SO"
"1417","2023-09-24","Keibert Ruiz",94,"---",".21","HR"
"1418","2023-09-24","Taylor Walls",62,"1--","2.35","Out"
"1419","2023-09-24","Matt Chapman",116,"---",".91","SO"
"1420","2023-09-24","Leody Taveras",92,"---",".46","1B"
"1421","2023-09-26","Josh Lowe",82,"---",".33","SO"
"1422","2023-09-26","Alek Thomas",75,"123","2.44","3B"
"1423","2023-09-26","Dansby Swanson",114,"12-","1.51","3B"
"1425","2023-09-26","J.T. Realmuto",130,"---",".92","SO"
"1426","2023-09-26","Alex Bregman",134,"1-3",".43","1B"
"1428","2023-09-26","DJ LeMahieu",110,"---","1.34","1B"
"1429","2023-09-26","James Outman",289,"1-3","1.66","Out"
"1430","2023-09-27","Cedric Mullins",107,"123","1.11","SO"
"1431","2023-09-27","Jo Adell",78,"---",".72","Out"
"1432","2023-09-27","Austin Hays",105,"-2-",".37","Out"
"1433","2023-09-27","Max Muncy",100,"1--","1.05","Out"
"1434","2023-09-27","Spencer Torkelson",74,"---",".20","BB"
"1435","2023-09-27","Elvis Andrus",104,"1--","1.47","SO"
"1436","2023-09-27","Garrett Stubbs",129,"123","2.17","Out"
"1437","2023-09-27","Bryan De La Cruz",102,"---",".68","1B"
"1438","2023-09-27","Josh Bell",127,"---",".57","BB"
"1439","2023-09-28","Austin Hays",105,"-2-",".73","2B"
"1441","2023-09-28","William Contreras",136,"12-","1.22","BB"
"1443","2023-09-28","Ji Hwan Bae",137,"1--",".67","Out"
"1444","2023-09-28","Matt Wallner",103,"12-","3.12","HBP"
"1445","2023-09-28","George Springer",132,"---",".44","Out"
"1449","2023-09-29","Marcus Semien",106,"---",".03","SO"
"1450","2023-09-29","Max Kepler",92,"1--","2.04","1B"
"1452","2023-09-29","Donovan Solano",99,"-2-","1.11","HR"
